sample_id,matrix,datetime,lon,lat,compound,class,value,unit,lod,loq
S001,biota,2025-07-21T00:00:00,112.0482864236268,29.82127429199131,Tetracycline,TC,2.426,ng/g,1.032,2.064
S002,water,2025-07-14T00:00:00,112.06985542357462,29.090713013343866,Ciprofloxacin,FQ,22.75,ng/L,4.303,8.605
S003,water,2025-04-21T00:00:00,112.62743322240559,29.947708942457005,Chloramphenicol,CHL,4.468,ng/L,5.813,11.627
S004,water,2025-03-10T00:00:00,112.41913904357146,29.54068588553214,Sulfamethoxazole,SA,91.336,ng/L,5.752,11.504
S005,sediment,2025-03-04T00:00:00,112.58160016366247,29.638913468926184,Chloramphenicol,CHL,41.399,ng/g,3.787,7.573
S006,sediment,2025-08-22T00:00:00,112.53172024658019,29.777228774980806,Sulfamethoxazole,SA,47.339,ng/g,4.709,9.419
S007,water,2025-04-26T00:00:00,112.17976674958314,29.779829630584242,Erythromycin,MAC,40.925,ng/L,0.91,1.821
S008,sediment,2025-05-20T00:00:00,112.98017484749258,29.118065778254962,Tetracycline,TC,77.783,ng/g,4.239,8.479
S009,water,2025-08-14T00:00:00,112.03920725704744,29.668215856534395,Tetracycline,TC,4.248,ng/L,7.669,15.339
S010,water,2025-06-20T00:00:00,112.49667479529899,29.796891975821595,Tetracycline,TC,27.398,ng/L,0.781,1.562
S011,biota,2025-08-23T00:00:00,112.66415220547468,29.06066942759722,Sulfamethoxazole,SA,2.501,ng/g,7.045,14.09
S012,water,2025-07-22T00:00:00,112.34700525568844,29.940648566646093,Erythromycin,MAC,12.956,ng/L,3.619,7.238
S013,water,2025-01-07T00:00:00,112.76823298847252,29.129340222018683,Chloramphenicol,CHL,10.792,ng/L,2.551,5.103
S014,water,2025-07-18T00:00:00,112.27783913078446,29.136926143015025,Sulfamethoxazole,SA,82.043,ng/L,4.362,8.724
S015,water,2025-07-12T00:00:00,112.68272305938746,29.380441300256038,Chloramphenicol,CHL,62.417,ng/L,2.384,4.769
S016,water,2025-10-06T00:00:00,112.26274661929854,29.004093603385066,Ciprofloxacin,FQ,57.133,ng/L,4.248,8.495
S017,sediment,2025-06-05T00:00:00,112.69049365713597,29.51549143307078,Tetracycline,TC,46.275,ng/g,6.214,12.428
S018,water,2025-07-13T00:00:00,112.10353709371033,29.63428956568571,Chloramphenicol,CHL,42.55,ng/L,0.716,1.433
S019,biota,2025-08-06T00:00:00,112.10992830500047,29.60072726050448,Sulfamethoxazole,SA,21.682,ng/g,1.114,2.227
S020,sediment,2025-02-28T00:00:00,112.20795268277875,29.37622936180644,Tetracycline,TC,37.367,ng/g,6.381,12.761
S021,sediment,2025-08-04T00:00:00,112.11535351610881,29.48806805903541,Tetracycline,TC,28.549,ng/g,9.78,19.561
S022,water,2025-06-24T00:00:00,112.26475689171718,29.82885537812156,Ciprofloxacin,FQ,52.656,ng/L,1.698,3.396
S023,water,2025-09-12T00:00:00,112.14660253889909,29.543172425882116,Sulfamethoxazole,SA,18.202,ng/L,0.368,0.735
S024,sediment,2025-05-17T00:00:00,112.36669979176118,29.167042034534337,Sulfamethoxazole,SA,37.828,ng/g,7.742,15.484
S025,water,2025-09-11T00:00:00,112.63644192533971,29.61322822281354,Chloramphenicol,CHL,50.861,ng/L,7.905,15.81
S026,sediment,2025-04-07T00:00:00,112.51763872424351,29.355562543354957,Ciprofloxacin,FQ,33.549,ng/g,0.387,0.774
S027,sediment,2025-08-09T00:00:00,112.19364494601281,29.605139031682278,Sulfamethoxazole,SA,64.413,ng/g,3.508,7.017
S028,biota,2025-06-03T00:00:00,112.22046232299624,29.226845826730727,Tetracycline,TC,12.617,ng/g,2.047,4.095
S029,water,2025-10-27T00:00:00,112.00190831333006,29.909199197985068,Ciprofloxacin,FQ,20.492,ng/L,3.506,7.011
S030,biota,2025-04-16T00:00:00,112.88901100440712,29.433925075748082,Sulfamethoxazole,SA,12.867,ng/g,6.395,12.79
S031,sediment,2025-07-15T00:00:00,112.4013868178677,29.946797006464895,Sulfamethoxazole,SA,56.278,ng/g,7.276,14.551
S032,water,2025-08-26T00:00:00,112.65585818995665,29.611573337216008,Ciprofloxacin,FQ,61.42,ng/L,5.999,11.998
S033,sediment,2025-06-05T00:00:00,112.54866004398679,29.13098385200945,Erythromycin,MAC,85.605,ng/g,0.241,0.482
S034,sediment,2025-03-14T00:00:00,112.9865494211893,29.19480544199165,Chloramphenicol,CHL,43.414,ng/g,8.752,17.503
